SLANG_TERM	ANNOTATOR_CONFIDENCE	MOVIE_ID	SENT_ID	REGION	YEAR	DEFINITION_SENTENCE	DEFINITION_SOURCE_URL	LITERAL_PARAPHRASE_OF_SLANG
taking the piss	1	3179568	1270	UK	2006			
kid	1	3179568	1639	UK	2006			
huh	2	3179568	39	UK	2006			
hug	1	3179568	630	UK	2006			
fucking	1	3179568	2246	UK	2006			
weed	2	3179568	1972	UK	2006	cannabis or marijuana		cannabis
wanna	3	3179568	2142	UK	2006	want to		intend
other half	2	3179568	919	UK	2006	partner, wife or husband		spouse
mong	3	3179568	103	UK	2006			
summat	2	3179568	1718	UK	2006			
sort	2	3179568	1315	UK	2006	fix, mend		fix
boss	1	3472293	291	UK	2009			
yeah	1	3472293	626	UK	2009			
twobob	2	3472293	717	UK	2009			
kid	3	3472293	739	UK	2009	child, young person		child
few	1	3472293	1035	UK	2009			
steaming with anger	1	3472293	1235	UK	2009			
up for	2	3472293	852	UK	2009	inclined towards		prepared
mate	3	3472293	1038	UK	2009	friend, comrade		friend
scramble	1	3670999	443	UK	2010			
off you pop	2	3670999	419	UK	2010	go away, leave now		depart
shaped up	1	3670999	36	UK	2010			
speak of the devil	1	3670999	743	UK	2010			
tunes	1	3670999	986	UK	2010			
gonna	2	3670999	1259	UK	2010	going to, intend to		going to
ow	1	3670999	1638	UK	2010			
fucking	1	3670999	928	UK	2010			
blew it	2	5778643	1463	UK	2013	made a mess of it, did it wrong		messed
dad	1	5778643	112	UK	2013			
real proper	1	5778643	1756	UK	2013			
jumped out the window	1	5778643	667	UK	2013			
under the radar	1	5778643	1666	UK	2013			
hoof	2	5778643	1517	UK	2013	walk, short trip		trip
'cause	1	5778643	1288	UK	2013			
driving forward	1	5778643	1831	UK	2013			
kids	2	6224678	758	UK	2014	children, young people		children
accident waiting to happen	1	6224678	835	UK	2014			
bottle	2	6224678	1170	UK	2014	courage		courage
yeah	1	6224678	682	UK	2014			
death of cold	1	6224678	543	UK	2014			
going down	1	3151540	1010	US	2007			
makes good	1	54446	566	US	2000			
wasted	1	5905224	1099	US	2012			
troubled	1	3151540	673	US	2007			
witch doctors	2	3967329	835	US	2010	someone who uses unconventional or superstitious methods to try to solve a problem, often in a way that is considered unscientific or irrational.	https://www.urbandictionary.com/define.php?term=witch%20doctor	superstitious
wheelin' and dealin'	1	5905224	887	US	2012			
dude	1	5905224	733	US	2012			
barged	1	5905224	204	US	2012			
honey	1	5905224	646	US	2012			
dentist	1	3151540	1825	US	2007			
tongue on rye	1	5905224	300	US	2012			
sorry	1	5905224	514	US	2012			
chinese	2	3151540	1798	US	2007	a shorthand or code word for chinese food, especially when ordering takeout or delivery from a chinese restaurant.	https://www.urbandictionary.com/define.php?term=chinese	chinese food
klutz	1	3151540	1672	US	2007			
germane	2	3151540	1354	US	2007	relevant or pertinent to a particular subject or matter.	https://greensdictofslang.com/entry/vvqsfsy	relevant
spin a sexy story	1	3967329	1254	US	2010			
hardware	1	3967329	1300	US	2010			
throne	1	54446	38	US	2000			
everything	1	4744540	429	US	2012			
f word	1	54446	88	US	2000			
infect	1	3967329	2289	US	2010			
slump	2	4744540	281	US	2012			
stake	2	3967329	826	US	2010	a large sum of money.		money
high	1	5905224	793	US	2012			
unattended	1	4744540	1202	US	2012			
hitting close to 400	1	4744540	1797	US	2012			
take his ball	1	3967329	1486	US	2010			
trouble	1	3967329	1987	US	2010			
promiscuous sex	1	54446	59	US	2000			
hole	1	54446	1257	US	2000			
in the hole	2	54446	1256	US	2000	to be in debt or owing money to someone or some entity, particularly more than what one has available.	https://greensdictofslang.com/entry/yhvcy2i	indebted
shrink	1	4744540	592	US	2012			
skinny little ass	2	4744540	1299	US	2012	a derogatory term used to describe someone who is thin and weak.	http://greensdictofslang.com/entry/wsjwsjy	weak person
lump of shit	1	3151540	1339	US	2007			
crime	1	4744540	650	US	2012			
hopped on	1	3151540	1437	US	2007			
french	2	3151540	177	US	2007	a code word for marijuana.	https://www.urbandictionary.com/define.php?term=french	marijuana
hey	1	3967329	1922	US	2010			
gee whiz	3	3967329	583	US	2010	an expression of surprise or wonderment.	https://www.urbandictionary.com/define.php?term=Gee%20Whiz	surprise
check	1	4744540	1233	US	2012			
slump	2	4744540	147	US	2012	a period of poor performance or a downturn in fortune, especially in sports or business.	https://greensdictofslang.com/entry/xgf62ny	downturn
take care	1	54446	322	US	2000			
psych	1	3151540	1760	US	2007			
buddy	1	5905224	1811	US	2012			
again and again	1	3967329	473	US	2010			
bones	1	3967329	1340	US	2010			
over your head	1	4744540	903	US	2012			
torn	1	5905224	1763	US	2012			
man	1	3179568	2174	UK	2006			
them flares	1	3179568	109	UK	2006			
whippersnapper	2	3179568	1233	UK	2006	young person, generally with a bad attitude		young
sick	2	3179568	2052	UK	2006	ill, unwell		ill
fodder	1	3179568	271	UK	2006			
yous	1	3179568	469	UK	2006			
fuck	2	3179568	893	UK	2006	to have sex. general swear word universally.		nothing
ducky	1	3179568	521	UK	2006			
fags	3	3179568	1594	UK	2006	cigarettes		cigarettes
fucking	1	3179568	883	UK	2006			
on about	1	3179568	1805	UK	2006			
porno	3	3179568	1754	UK	2006	pornography - sexual images		pornography
going to have it	1	3472293	1046	UK	2009			
belly	1	3472293	1147	UK	2009			
ripper	1	3472293	1070	UK	2009			
jacks	1	3472293	617	UK	2009			
take a fall	1	3472293	1023	UK	2009			
aye	1	3472293	963	UK	2009			
all right	1	3670999	521	UK	2010			
brat	2	3670999	1379	UK	2010	badly behaved child		child
brahma	1	3670999	1281	UK	2010			
you know	1	5778643	1467	UK	2013			
abuse you	1	5778643	260	UK	2013			
shit	3	6224678	618	UK	2014	literally feces - metaphorically a mild swear word with many meanings		stuff
uh	1	6224678	689	UK	2014			
fucking	1	6224678	827	UK	2014			
old dog	2	6224678	591	UK	2014	old/experienced person		old
reps	1	6224678	31	UK	2014			
sunshine	1	4744540	408	US	2012			
suv	1	3967329	581	US	2010			
print	1	54446	868	US	2000			
mother	1	3967329	615	US	2010			
buddy	2	5905224	1812	US	2012	a term of address used informally among men, especially as a friendly form of address.	https://greensdictofslang.com/entry/bsvqufi	friend
bloomers	1	5905224	1796	US	2012			
swill	1	54446	593	US	2000			
brown	1	3151540	1664	US	2007			
kidding me	1	5905224	983	US	2012			
pissed	3	5905224	1191	US	2012	angry, mad, or annoyed.	https://greensdictofslang.com/entry/g4waxoa	angry
ugly	1	3967329	2057	US	2010			
kill	1	54446	36	US	2000			
cinderellas	3	54446	255	US	2000			
gentry	1	4744540	1804	US	2012			
insanity	1	3967329	2192	US	2010			
homers	1	4744540	942	US	2012			
pass	1	4744540	199	US	2012			
prenup	1	5905224	1630	US	2012			
on top	1	3967329	199	US	2010			
big fell	1	54446	1013	US	2000			
hang	2	54446	912	US	2000			
dose	2	3151540	985	US	2007	a quantity of a drug, usu. one for a single person's use.	https://greensdictofslang.com/entry/syymxgi	amount.
drama queen	3	54446	84	US	2000	a person, often female, who overreacts to situations and behaves in an overly dramatic or attention-seeking way.	https://greensdictofslang.com/entry/lxcitca	exaggerator
horse's ass	3	4744540	540	US	2012	a derogatory term used to refer to a person who is seen as stupid, foolish, or unpleasant.	https://www.urbandictionary.com/define.php?term=horse%27s%20ass	idiot
gonna	1	4744540	894	US	2012			
pig	3	4744540	603	US	2012	an insult meaning a contemptible person, especially a police officer.	https://greensdictofslang.com/entry/ih5sk7y	insult
close the place down	1	4744540	679	US	2012			
phoney people	1	3151540	1824	US	2007			
gotta	1	3151540	1433	US	2007			
close	1	3151540	1129	US	2007			
not who you think he is	1	3967329	1245	US	2010			
drool	1	3967329	1868	US	2010			
breaking	2	4744540	1286	US	2012	a curveball in baseball.		breaking ball
mickey	1	4744540	1559	US	2012			
schmuck	3	5905224	1692	US	2012	a stupid or contemptible person, a jerk.		idiot
filthy stinking	2	3151540	1861	US	2007			
yeah	1	5905224	683	US	2012			
whistlin	1	3967329	28	US	2010			
prick	1	5905224	740	US	2012			
yeah	2	3179568	1157	UK	2006	yes		yes
spliff	3	3179568	1975	UK	2006	cannabis cigarette, joint		joint
brew	2	3179568	1101	UK	2006	cup of tea (sometimes beer)		tea
blossomed	2	3179568	912	UK	2006			
dude	2	3179568	905	UK	2006	generally affectionate term for a person, usually male		man
he were like that	1	3179568	1048	UK	2006			
gonna	2	3179568	1506	UK	2006	going to		going to
fuck	1	3179568	2236	UK	2006			
y'are	1	3179568	1161	UK	2006			
wanna	2	3179568	128	UK	2006	want to		want to
lads	3	3472293	849	UK	2009	boys, young men		boys
fucking	1	3472293	775	UK	2009			
all	1	3472293	752	UK	2009			
chap	1	3670999	1469	UK	2010			
rock and roll	1	3670999	672	UK	2010			
bet	1	3670999	862	UK	2010			
okay	2	3670999	1412	UK	2010	all right, i agree		allright
you know	1	5778643	614	UK	2013			
like a god	1	5778643	497	UK	2013			
unit	1	5778643	983	UK	2013			
magician wave a wand	1	5778643	778	UK	2013			
load of	1	5778643	1492	UK	2013			
pirouette… manhood	1	5778643	1131	UK	2013			
them players	1	5778643	846	UK	2013			
put up with	1	6224678	474	UK	2014			
fucker	2	6224678	962	UK	2014	literally one who has sex but generally used as an insult		nasty
pull	1	6224678	965	UK	2014			
fucking	1	6224678	1139	UK	2014			
kids	3	6224678	616	UK	2014	children		children
nuttier	3	6224678	1335	UK	2014	i think this means nutter - which means someone who is not quite sane		insane
fucking about	1	6224678	1199	UK	2014			
head around	1	3151540	1293	US	2007			
grand	1	3967329	1954	US	2010			
bet	1	5905224	35	US	2012			
wanna	2	54446	1818	US	2000	"a contraction of ""want to"", used in informal speech and writing to indicate the desire or intention to do something."	https://greensdictofslang.com/entry/xnjqhyq	want to
gonna	1	5905224	1534	US	2012			
roommate	1	3151540	219	US	2007			
few words	1	5905224	1403	US	2012			
shit	3	5905224	621	US	2012	something that is considered worthless or of poor quality.	https://greensdictofslang.com/entry/sgstbjq	worthless
stars	1	54446	228	US	2000			
market	1	3967329	732	US	2010			
stake	3	3967329	2093	US	2010	to financially support or invest in someone or something.	https://greensdictofslang.com/entry/zgimvpy	invest
time	1	54446	1797	US	2000			
rock' n' roll	1	54446	364	US	2000			
lines a shot	1	4744540	283	US	2012			
dribble	2	54446	216	US	2000			
wire	2	3967329	952	US	2010			
interweb	1	4744540	204	US	2012			
prenup	2	5905224	582	US	2012			
you'd	1	4744540	1080	US	2012			
yo	1	5905224	580	US	2012			
commodity	1	3967329	2126	US	2010			
vacation	1	54446	1102	US	2000			
use you	1	54446	592	US	2000			
screwed up	3	4744540	1572	US	2012			
rescue	1	54446	469	US	2000			
sing	1	5905224	444	US	2012			
matter	2	4744540	1398	US	2012			
middle	1	54446	194	US	2000			
photography	1	3151540	95	US	2007			
swing	1	4744540	805	US	2012			
shrink	2	3151540	1380	US	2007			
passed	2	3151540	563	US	2007			
actually attempted it	1	3967329	1040	US	2010			
shoot up	1	3967329	933	US	2010			
loud and clear	1	4744540	854	US	2012			
you know what	1	4744540	722	US	2012			
prenup	1	5905224	1641	US	2012			
over	1	3967329	1255	US	2010			
sank	1	3967329	166	US	2010			
god almighty	2	4744540	1494	US	2012			
well	1	3179568	1249	UK	2006			
kid	3	3179568	1615	UK	2006	child		child
cheap and easy	1	3179568	1177	UK	2006			
munchies	3	3179568	2100	UK	2006	needing something to eat, often associated with people who have been smoking cannabis		hungry
smell	1	3179568	808	UK	2006			
fucking	1	3179568	2097	UK	2006			
yous	1	3179568	432	UK	2006			
get to you	1	3472293	892	UK	2009			
slags	3	3472293	593	UK	2009	promiscuous women, tarts		promiscuous
play a round	1	3472293	675	UK	2009			
roll you out	1	3472293	177	UK	2009			
ok	1	3472293	279	UK	2009			
get to grips	1	3472293	280	UK	2009			
boss	2	3472293	857	UK	2009			
blood claat	2	3670999	1271	UK	2010	a sanitary napkin, now used as a swear word		napkin
ex corde vita	1	3670999	1367	UK	2010			
old man	1	3670999	605	UK	2010			
clot	2	3670999	308	UK	2010	idiot, moron		moron
gig	1	3670999	138	UK	2010			
southpaws	2	3670999	495	UK	2010	person who is left handed		lefthander
you know	1	5778643	1623	UK	2013			
son	1	5778643	1380	UK	2013			
treacle	2	5778643	88	UK	2013			
hollywood passes	1	5778643	1263	UK	2013			
square it	1	5778643	816	UK	2013			
fuck	1	6224678	1010	UK	2014			
fucking	1	6224678	908	UK	2014			
fucking	2	6224678	1221	UK	2014			
kids	1	6224678	613	UK	2014			
spotlight’s	1	4744540	205	US	2012			
rooster	1	3967329	2184	US	2010			
different powers	1	3151540	896	US	2007			
toxic debt	1	3967329	1719	US	2010			
kidding	1	5905224	984	US	2012			
tits	1	3151540	1519	US	2007			
sorry	1	5905224	1187	US	2012			
fired	1	5905224	88	US	2012			
go down	1	3151540	1427	US	2007			
screwed	3	5905224	1809	US	2012			
gotta	1	3151540	1477	US	2007			
break	2	3967329	1814	US	2010			
last trade	1	3967329	2087	US	2010			
crazy	1	3967329	2138	US	2010			
rainy day	1	54446	1279	US	2000			
shit	2	54446	847	US	2000			
road trips	1	4744540	56	US	2012			
turn	1	54446	243	US	2000			
either	1	3967329	48	US	2010			
cheap seats	1	4744540	1600	US	2012			
pick me up	1	3967329	2303	US	2010			
"t
around"	1	4744540	399	US	2012			
stubborn mule	2	4744540	860	US	2012	a person who is stubborn, obstinate or difficult to persuade or who does not respond to criticism.	https://greensdictofslang.com/entry/zkz6hfi	unyielding
toxic debt	1	3967329	1028	US	2010			
fisherman	1	3967329	1111	US	2010			
home	1	54446	1265	US	2000			
problem	1	54446	1724	US	2000			
dream	1	5905224	1384	US	2012			
with you	1	4744540	654	US	2012			
joneses	1	3151540	1217	US	2007			
knocked out	3	3151540	1462	US	2007	to be asleep, unconscious, or heavily intoxicated.	https://greensdictofslang.com/entry/hmmv7xq	unconscious
shit	1	3151540	1881	US	2007			
gonna	1	3151540	1670	US	2007			
holding out	2	3967329	409	US	2010	"to wait or hold back from doing something until a better opportunity or offer comes along.example sentence: ""i'm holding out for a higher salary before i accept the job offer."""		withholding
kid	1	3967329	1777	US	2010			
had him good	1	4744540	719	US	2012			
bat	1	4744540	152	US	2012			
stake	1	3967329	1805	US	2010			
check	1	5905224	1157	US	2012			
what the point	1	3967329	2036	US	2010			
tits	1	3179568	1813	UK	2006			
weren't it	2	3179568	1038	UK	2006	wasn't it - a rhetorical question in this context		wasn't it
summat	2	3179568	628	UK	2006	something		something
t'moosh	2	3179568	986	UK	2006	the mustache		mustache
lad	2	3472293	1004	UK	2009	boy/male/man  term used in northern england		boy
eh	1	3472293	833	UK	2009			
mate	3	3472293	1118	UK	2009			
ripper	1	3472293	75	UK	2009			
whores	1	3472293	564	UK	2009			
to the top	1	3472293	79	UK	2009			
spastics	1	3670999	1586	UK	2010			
riff	1	3670999	1148	UK	2010			
spasticus	2	3670999	1704	UK	2010	play on the word spastic, referring to someone with cerebral palsy used in a derogatory manner to imply someone is useless and stupid	https://www.urbandictionary.com/define.php?term=Spasticus	retard
right old moody	1	3670999	732	UK	2010			
bloke	3	3670999	804	UK	2010	man	https://www.urbandictionary.com/define.php?term=bloke	man
mandy	2	3670999	20	UK	2010	short for mandrax, or methaqualone a sedative type drug	https://www.urbandictionary.com/define.php?term=Mandrax	mandrax
chink	1	3670999	112	UK	2010			
fucking	1	3670999	172	UK	2010			
sack	2	3670999	987	UK	2010	to fire or terminate from ones job		fire
fucking	1	3670999	630	UK	2010			
wedge	1	3670999	856	UK	2010			
square	1	5778643	771	UK	2013			
greatest feeling in the whole wide world	1	5778643	454	UK	2013			
dead scared	1	5778643	140	UK	2013			
freezing cold	1	5778643	1128	UK	2013			
snorts	2	6224678	522	UK	2014	to inhale via the nostrils		inhales
ask after	1	6224678	15	UK	2014			
as	1	6224678	550	UK	2014			
line	1	6224678	118	UK	2014			
late	1	3151540	78	US	2007			
internet bubble	1	3967329	750	US	2010			
skipped	1	54446	110	US	2000			
points	1	5905224	147	US	2012			
out of mind	1	3151540	936	US	2007			
discount	1	5905224	1582	US	2012			
bottom	1	3967329	487	US	2010			
free	1	5905224	573	US	2012			
shoot	1	3151540	844	US	2007			
grown	1	5905224	1386	US	2012			
hits	1	3967329	1121	US	2010			
bridge	2	3967329	929	US	2010	to provide a temporary solution or assistance to someone who is facing a problem or challenge. it can also refer to providing a loan or advance payment.	https://www.urbandictionary.com/define.php?term=Bridge	assist
cool	1	54446	1737	US	2000			
bum	2	4744540	139	US	2012	a person who is incompetent or lazy; a worthless or unpleasant person.	https://greensdictofslang.com/entry/ujtxo3q	worthless
pussies	2	54446	977	US	2000	someone who is weak, timid, or lacks courage, often specifically applied to men in a derogatory way.	https://www.greensdictofslang.com/entry/vjbdyla	cowards
sell	1	3967329	374	US	2010			
best	1	4744540	1763	US	2012			
blind as a slab of concrete	2	4744540	740	US	2012			
feds	1	3967329	1105	US	2010			
work	1	3967329	1706	US	2010			
kid	1	54446	188	US	2000			
worldly	2	4744540	509	US	2012	knowledgeable about the ways of the world, or experienced in life.	https://greensdictofslang.com/entry/7ftrwca	experienced
sort of	1	4744540	74	US	2012			
cop	1	54446	999	US	2000			
buddy	1	3151540	1252	US	2007			
see	1	4744540	934	US	2012			
regular	1	54446	1079	US	2000			
audited	1	3151540	691	US	2007			
that guy	2	3151540	2144	US	2007			
1 2 step deal	1	3967329	1533	US	2010			
like crazy	1	54446	224	US	2000			
back on your feet	1	5905224	824	US	2012			
pushed	1	3151540	1775	US	2007			
bitch	2	3967329	694	US	2010			
pissed	2	3151540	1140	US	2007	annoyed; anger	https://greensdictofslang.com/entry/y5rpfda	angry
jew	1	5905224	509	US	2012			
on the hook	2	3967329	1323	US	2010	to be responsible for something, owe money	https://www.urbandictionary.com/define.php?term=on%20the%20hook	responsible
serve it	1	3967329	808	US	2010			
pop	1	4744540	587	US	2012			
pakis	2	3179568	1554	UK	2006	shortened form of pakistan, referring to people of pakistani origin (derogatory)		asian
get the fuck out	1	3179568	252	UK	2006			
fucking	1	3179568	1106	UK	2006			
pissed	3	3179568	802	UK	2006	drunk on alcohol		drunk
yeah	1	3179568	48	UK	2006			
kick the shit out	1	3179568	332	UK	2006			
gonna	2	3179568	778	UK	2006	short for going to		going to
fucking	1	3179568	1877	UK	2006			
them ones	2	3179568	499	UK	2006	those ones, the ones indicated here		those
gonna	3	3179568	779	UK	2006	going to, intend to		going to
t’moosh	1	3179568	1840	UK	2006			
ripper	1	3472293	482	UK	2009			
settled his score	1	3472293	1280	UK	2009			
belly up	2	3472293	719	UK	2009	literally dies, metaphorically it means 'goes wrong'		wrong
goodness	1	3472293	552	UK	2009			
stash	2	3472293	727	UK	2009	something that is being hoarded, kept onto		possessions
stretched	1	3472293	18	UK	2009			
lads	3	3472293	95	UK	2009	boys, young males		boys
winter in the house	1	3472293	342	UK	2009			
bubble and squeak	1	3670999	148	UK	2010			
geezer's	1	3670999	1249	UK	2010			
gotta	2	3670999	1114	UK	2010	got to, have to		got to
ain't	1	3670999	454	UK	2010			
fucking	1	3670999	791	UK	2010			
mate	2	3670999	64	UK	2010	friend, comrade		friend
gonna	2	3670999	1650	UK	2010	going to		going to
sort of	1	5778643	352	UK	2013			
beauty	1	5778643	1599	UK	2013			
rid	1	5778643	1188	UK	2013			
lads	3	5778643	181	UK	2013	boys, young males		boys
nicked	3	5778643	1297	UK	2013	stolen		stolen
kiddo	3	5778643	1046	UK	2013	child (jocular term)		child
back of their mind	1	5778643	457	UK	2013			
folks	2	6224678	219	UK	2014	people, everyone here		people
wee	2	6224678	335	UK	2014	small (scottish)		small
curve	2	4744540	1772	US	2012	to ignore, avoid or sidestep someone's obvious expression of interest through flirting or any means of advance.	https://www.urbandictionary.com/define.php?term=Curve	ignored
pick you up	1	5905224	1067	US	2012			
gonna	2	54446	1603	US	2000	a word for people who are too lazy to say 'going to'.	https://www.urbandictionary.com/define.php?term=gonna	going to
noise	1	3967329	430	US	2010			
out	2	3967329	449	US	2010	a choice or chance to stay or go in any given situation.	https://www.urbandictionary.com/define.php?term=out	depart
family	1	5905224	283	US	2012			
heartbroken	1	3151540	565	US	2007			
rabbinical law	1	5905224	434	US	2012			
insane	2	3967329	1587	US	2010	something everyone thinks they are while calling everyone basic, yet they're normal.	https://www.urbandictionary.com/define.php?term=Insane	awful
deal	1	5905224	1100	US	2012			
faggot	3	3151540	914	US	2007	a word used towards gay men , fruit men, and men that slap other men's butts .	https://www.urbandictionary.com/define.php?term=faggot	gay
pull it off	2	5905224	1731	US	2012	to get something done.	https://www.urbandictionary.com/define.php?term=pull%20it%20off	finish
gotten up	1	3151540	1219	US	2007			
shorting	2	3967329	1099	US	2010	a financial term of making money when the markets are red going down to a lower price.	https://www.urbandictionary.com/define.php?term=Shorting	robbing
real world	1	54446	1589	US	2000			
alien	1	5905224	230	US	2012			
thinking	1	3967329	1378	US	2010			
life	1	54446	1835	US	2000			
machinery	1	54446	934	US	2000			
kill	1	4744540	717	US	2012			
charity	1	3967329	1808	US	2010			
big case	1	3151540	1756	US	2007			
shit	1	4744540	1623	US	2012			
broken family	1	5905224	117	US	2012			
three for three	1	4744540	89	US	2012			
trader	1	3967329	643	US	2010			
face	1	54446	227	US	2000			
like mad	1	4744540	677	US	2012			
marry	1	54446	144	US	2000			
wanna	1	3151540	1600	US	2007			
things	1	5905224	988	US	2012			
whip up some papers	1	4744540	1778	US	2012			
high	2	54446	256	US	2000	the euphoric, pleasurable state induced by taking drugs; the emotional, undrugged equivalent; cite 1971 ref. to alcohol.	https://greensdictofslang.com/entry/dpbhx3y	intoxicated
fucking	1	3151540	1842	US	2007			
atlanta	1	4744540	1377	US	2012			
nig	2	3151540	934	US	2007	a derog. term for a black person.	https://greensdictofslang.com/entry/3tnon2a	black person
